[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
133,0.2639,0.0736,0.1477,0.0604,0.4760,0.2043,0.0769,
134,0.2397,0.0697,0.1506,0.0634,0.4510,0.1949,0.0716,
135,0.2168,0.0665,0.1543,0.0671,0.4270,0.1863,0.0665,
136,0.1954,0.0639,0.1584,0.0714,0.4045,0.1787,0.0618,
137,0.1755,0.0618,0.1629,0.0764,0.3838,0.1721,0.0575,
138,0.1574,0.0602,0.1674,0.0821,0.3653,0.1665,0.0539,
139,0.1410,0.0589,0.1718,0.0886,0.3493,0.1619,0.0508,
140,0.1264,0.0582,0.1759,0.0960,0.3360,0.1585,0.0484,
141,0.1135,0.0577,0.1795,0.1044,0.3254,0.1561,0.0466,
142,0.1022,0.0576,0.1825,0.1137,0.3177,0.1547,0.0454,
143,0.0925,0.0578,0.1847,0.1241,0.3128,0.1544,0.0448,
144,0.0843,0.0582,0.1860,0.1357,0.3106,0.1550,0.0447,
145,0.0776,0.0588,0.1865,0.1485,0.3111,0.1565,0.0451,
146,0.0721,0.0595,0.1859,0.1625,0.3142,0.1588,0.0460,
147,0.0679,0.0605,0.1844,0.1777,0.3196,0.1620,0.0473,
148,0.0649,0.0616,0.1818,0.1941,0.3271,0.1659,0.0491,
149,0.0630,0.0627,0.1784,0.2117,0.3367,0.1705,0.0513,
150,0.0621,0.0640,0.1741,0.2303,0.3480,0.1757,0.0539,
151,0.0621,0.0653,0.1689,0.2497,0.3608,0.1814,0.0569,
152,0.0631,0.0666,0.1632,0.2699,0.3749,0.1875,0.0602,
153,0.0649,0.0678,0.1569,0.2904,0.3900,0.1940,0.0639,
154,0.0675,0.0691,0.1501,0.3112,0.4058,0.2007,0.0678,
155,0.0707,0.0703,0.1431,0.3318,0.4220,0.2076,0.0718,
156,0.0745,0.0713,0.1359,0.3519,0.4383,0.2144,0.0759,
157,0.0789,0.0723,0.1288,0.3712,0.4545,0.2211,0.0800,
158,0.0837,0.0732,0.1217,0.3894,0.4701,0.2276,0.0839,
159,0.0889,0.0739,0.1148,0.4060,0.4849,0.2337,0.0876,
160,0.0943,0.0744,0.1083,0.4208,0.4986,0.2393,0.0910,
161,0.0998,0.0748,0.1021,0.4335,0.5109,0.2442,0.0940,
162,0.1053,0.0750,0.0964,0.4439,0.5217,0.2485,0.0966,
163,0.1108,0.0751,0.0912,0.4516,0.5305,0.2519,0.0986,
164,0.1161,0.0750,0.0866,0.4566,0.5373,0.2543,0.1001,
165,0.1212,0.0748,0.0825,0.4589,0.5420,0.2559,0.1010,
166,0.1259,0.0745,0.0790,0.4582,0.5444,0.2564,0.1013,
167,0.1300,0.0741,0.0760,0.4548,0.5445,0.2559,0.1010,
168,0.1336,0.0737,0.0735,0.4487,0.5421,0.2543,0.1001,
169,0.1366,0.0732,0.0715,0.4400,0.5375,0.2518,0.0987,
170,0.1389,0.0727,0.0699,0.4291,0.5306,0.2482,0.0967,
171,0.1404,0.0722,0.0687,0.4160,0.5214,0.2438,0.0942,
172,0.1412,0.0718,0.0679,0.4013,0.5102,0.2385,0.0913,
173,0.1411,0.0715,0.0673,0.3851,0.4971,0.2324,0.0880,
174,0.1403,0.0712,0.0669,0.3679,0.4823,0.2257,0.0844,
175,0.1388,0.0710,0.0667,0.3499,0.4659,0.2185,0.0805,
176,0.1366,0.0710,0.0665,0.3316,0.4482,0.2108,0.0764,
177,0.1337,0.0711,0.0665,0.3132,0.4295,0.2028,0.0722,
178,0.1303,0.0713,0.0665,0.2952,0.4099,0.1946,0.0679,
179,0.1265,0.0717,0.0664,0.2776,0.3897,0.1864,0.0636,
180,0.1223,0.0722,0.0663,0.2608,0.3691,0.1781,0.0592,
181,0.1179,0.0727,0.0661,0.2451,0.3483,0.1700,0.0550,
182,0.1133,0.0734,0.0658,0.2305,0.3277,0.1621,0.0508,
183,0.1088,0.0741,0.0654,0.2173,0.3073,0.1546,0.0468,
184,0.1044,0.0749,0.0649,0.2054,0.2873,0.1474,0.0429,
185,0.1003,0.0757,0.0644,0.1951,0.2681,0.1407,0.0393,
186,0.0966,0.0765,0.0637,0.1862,0.2495,0.1345,0.0359,
187,0.0933,0.0773,0.0629,0.1789,0.2319,0.1289,0.0327,
188,0.0907,0.0781,0.0621,0.1730,0.2153,0.1238,0.0298,
189,0.0888,0.0787,0.0612,0.1685,0.1998,0.1194,0.0273,
190,0.0876,0.0794,0.0603,0.1653,0.1854,0.1156,0.0250,
191,0.0873,0.0799,0.0594,0.1634,0.1722,0.1124,0.0231,
192,0.0879,0.0804,0.0585,0.1625,0.1601,0.1099,0.0215,
193,0.0895,0.0808,0.0577,0.1627,0.1492,0.1080,0.0204,
194,0.0921,0.0811,0.0569,0.1637,0.1394,0.1066,0.0196,
195,0.0957,0.0813,0.0562,0.1656,0.1307,0.1059,0.0192,
196,0.1004,0.0815,0.0556,0.1680,0.1230,0.1057,0.0191,
197,0.1061,0.0816,0.0550,0.1710,0.1163,0.1060,0.0194,
198,0.1128,0.0817,0.0546,0.1744,0.1105,0.1068,0.0200,
199,0.1206,0.0818,0.0543,0.1781,0.1055,0.1080,0.0208,
200,0.1294,0.0819,0.0541,0.1820,0.1012,0.1097,0.0218,
201,0.1391,0.0820,0.0540,0.1860,0.0975,0.1117,0.0231,
202,0.1497,0.0821,0.0539,0.1901,0.0945,0.1141,0.0246,
203,0.1612,0.0823,0.0540,0.1941,0.0919,0.1167,0.0262,
204,0.1733,0.0825,0.0541,0.1981,0.0898,0.1196,0.0279,
205,0.1862,0.0827,0.0542,0.2020,0.0880,0.1226,0.0298,
206,0.1996,0.0830,0.0544,0.2058,0.0866,0.1259,0.0319,
207,0.2134,0.0833,0.0546,0.2094,0.0855,0.1292,0.0340,
208,0.2276,0.0837,0.0547,0.2129,0.0846,0.1327,0.0362,
209,0.2419,0.0841,0.0548,0.2163,0.0838,0.1362,0.0385,
210,0.2563,0.0844,0.0549,0.2194,0.0833,0.1397,0.0409,
211,0.2706,0.0848,0.0549,0.2226,0.0829,0.1432,0.0432,
212,0.2846,0.0851,0.0549,0.2258,0.0826,0.1466,0.0456,
213,0.2982,0.0854,0.0547,0.2290,0.0824,0.1499,0.0480,
214,0.3112,0.0856,0.0544,0.2322,0.0824,0.1531,0.0503,
215,0.3234,0.0858,0.0539,0.2355,0.0824,0.1562,0.0525,
216,0.3348,0.0858,0.0534,0.2390,0.0825,0.1591,0.0546,
217,0.3452,0.0858,0.0527,0.2426,0.0827,0.1618,0.0566,
218,0.3544,0.0856,0.0518,0.2466,0.0830,0.1643,0.0585,
219,0.3623,0.0853,0.0509,0.2509,0.0832,0.1665,0.0601,
220,0.3687,0.0848,0.0497,0.2554,0.0836,0.1685,0.0616,
221,0.3738,0.0842,0.0485,0.2604,0.0841,0.1702,0.0629,
222,0.3773,0.0835,0.0472,0.2657,0.0846,0.1716,0.0640,
223,0.3792,0.0826,0.0457,0.2714,0.0852,0.1728,0.0649,
224,0.3794,0.0815,0.0441,0.2775,0.0857,0.1737,0.0656,
225,0.3781,0.0804,0.0425,0.2839,0.0863,0.1742,0.0661,
226,0.3751,0.0791,0.0408,0.2907,0.0870,0.1745,0.0665,
227,0.3705,0.0777,0.0391,0.2977,0.0876,0.1745,0.0667,
228,0.3645,0.0762,0.0373,0.3050,0.0881,0.1742,0.0667,
229,0.3569,0.0746,0.0355,0.3124,0.0887,0.1736,0.0667,
230,0.3481,0.0730,0.0337,0.3199,0.0892,0.1728,0.0666,
231,0.3380,0.0713,0.0319,0.3274,0.0896,0.1716,0.0664,
232,0.3268,0.0696,0.0301,0.3348,0.0900,0.1702,0.0662,
233,0.3146,0.0679,0.0284,0.3420,0.0902,0.1686,0.0661,
234,0.3016,0.0661,0.0267,0.3490,0.0904,0.1668,0.0659,
235,0.2879,0.0644,0.0251,0.3556,0.0905,0.1647,0.0658,
236,0.2737,0.0628,0.0236,0.3617,0.0904,0.1624,0.0658,
237,0.2592,0.0611,0.0221,0.3672,0.0902,0.1600,0.0657,
238,0.2444,0.0596,0.0206,0.3722,0.0899,0.1573,0.0658,
239,0.2295,0.0580,0.0193,0.3764,0.0894,0.1545,0.0658,
240,0.2147,0.0566,0.0180,0.3798,0.0888,0.1516,0.0659,
241,0.2001,0.0552,0.0168,0.3823,0.0881,0.1485,0.0660,
242,0.1857,0.0539,0.0157,0.3839,0.0872,0.1453,0.0660,
243,0.1718,0.0526,0.0146,0.3846,0.0863,0.1420,0.0660,
244,0.1584,0.0515,0.0136,0.3843,0.0851,0.1386,0.0659,
245,0.1455,0.0504,0.0127,0.3830,0.0839,0.1351,0.0657,
246,0.1333,0.0493,0.0119,0.3807,0.0826,0.1316,0.0654,
247,0.1217,0.0483,0.0111,0.3775,0.0812,0.1280,0.0650,
248,0.1109,0.0473,0.0103,0.3732,0.0797,0.1243,0.0644,
249,0.1008,0.0464,0.0097,0.3680,0.0781,0.1206,0.0637,
250,0.0914,0.0455,0.0090,0.3619,0.0765,0.1169,0.0629,
251,0.0828,0.0446,0.0084,0.3550,0.0748,0.1131,0.0619,
252,0.0750,0.0438,0.0078,0.3473,0.0731,0.1094,0.0607,
253,0.0679,0.0429,0.0073,0.3388,0.0714,0.1057,0.0594,
254,0.0614,0.0420,0.0068,0.3298,0.0696,0.1019,0.0580,
255,0.0557,0.0412,0.0063,0.3201,0.0679,0.0982,0.0564,
256,0.0505,0.0403,0.0059,0.3100,0.0662,0.0946,0.0548,
257,0.0460,0.0393,0.0055,0.2994,0.0645,0.0909,0.0530,
258,0.0420,0.0384,0.0051,0.2886,0.0628,0.0874,0.0511,
259,0.0385,0.0374,0.0047,0.2775,0.0612,0.0839,0.0492,
260,0.0354,0.0364,0.0044,0.2662,0.0596,0.0804,0.0473,
261,0.0328,0.0354,0.0040,0.2549,0.0581,0.0770,0.0453,
262,0.0306,0.0343,0.0037,0.2436,0.0567,0.0738,0.0433,
263,0.0287,0.0332,0.0034,0.2323,0.0553,0.0706,0.0413,
264,0.0271,0.0321,0.0031,0.2212,0.0540,0.0675,0.0393,
265,0.0257,0.0309,0.0029,0.2103,0.0528,0.0645,0.0373,
266,0.0245,0.0297,0.0026,0.1996,0.0517,0.0616,0.0354,
267,0.0236,0.0285,0.0024,0.1893,0.0507,0.0589,0.0335,
268,0.0228,0.0273,0.0021,0.1793,0.0498,0.0563,0.0317,
269,0.0221,0.0261,0.0019,0.1697,0.0490,0.0538,0.0299,
270,0.0215,0.0248,0.0017,0.1605,0.0482,0.0514,0.0283,
271,0.0210,0.0236,0.0016,0.1518,0.0476,0.0491,0.0267,
272,0.0206,0.0224,0.0014,0.1435,0.0471,0.0470,0.0252,
273,0.0203,0.0212,0.0012,0.1356,0.0467,0.0450,0.0238,
274,0.0199,0.0200,0.0011,0.1283,0.0464,0.0432,0.0225,
275,0.0196,0.0189,0.0010,0.1215,0.0462,0.0414,0.0213,
276,0.0193,0.0177,0.0009,0.1151,0.0461,0.0398,0.0202,
277,0.0191,0.0166,0.0008,0.1092,0.0461,0.0383,0.0191,
278,0.0188,0.0156,0.0007,0.1037,0.0462,0.0370,0.0182,
279,0.0185,0.0145,0.0006,0.0987,0.0464,0.0357,0.0174,
280,0.0182,0.0136,0.0005,0.0941,0.0467,0.0346,0.0167,
281,0.0179,0.0126,0.0004,0.0899,0.0470,0.0336,0.0160,
282,0.0176,0.0117,0.0004,0.0862,0.0475,0.0327,0.0155,
283,0.0173,0.0108,0.0003,0.0827,0.0480,0.0318,0.0150,
284,0.0169,0.0100,0.0003,0.0796,0.0486,0.0311,0.0146,
285,0.0166,0.0093,0.0002,0.0769,0.0492,0.0304,0.0142,
286,0.0163,0.0085,0.0002,0.0744,0.0499,0.0299,0.0140,
287,0.0160,0.0079,0.0002,0.0721,0.0507,0.0294,0.0137,
288,0.0157,0.0072,0.0001,0.0701,0.0515,0.0289,0.0136,
289,0.0153,0.0066,0.0001,0.0683,0.0523,0.0285,0.0134,
290,0.0150,0.0061,0.0001,0.0667,0.0532,0.0282,0.0133,
291,0.0147,0.0056,0.0001,0.0652,0.0541,0.0279,0.0133,
292,0.0144,0.0051,0.0001,0.0639,0.0550,0.0277,0.0132,
293,0.0141,0.0047,0.0001,0.0626,0.0559,0.0275,0.0132,
294,0.0138,0.0043,0.0000,0.0615,0.0568,0.0273,0.0132,
295,0.0135,0.0039,0.0000,0.0604,0.0577,0.0271,0.0132,
296,0.0133,0.0036,0.0000,0.0594,0.0586,0.0270,0.0132,
297,0.0131,0.0033,0.0000,0.0584,0.0594,0.0268,0.0133,
298,0.0129,0.0031,0.0000,0.0574,0.0603,0.0267,0.0133,
299,0.0127,0.0028,0.0000,0.0564,0.0611,0.0266,0.0133,
