Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
0,617.915,816301,0.177795,0,2,False,
1,725.05,695682,0.766375,0,2,False,
2,214.677,2.34959e+006,0.0812329,0,2,False,
3,127.107,3.96833e+006,0.363161,0,3,False,
4,137.006,3.68161e+006,1.14069,0,20,True,
5,146.073,3.45309e+006,0.733064,0,11,True,
6,163.71,3.08109e+006,0.626365,2,15,True,
7,108.355,4.6551e+006,0.133899,3,5,True,
12,157.017,3.21241e+006,0.150918,13,3,False,
14,623.872,808506,0.289251,15,2,False,
15,188.763,2.67215e+006,0.152074,16,9,True,
16,6953.37,72541,0.311116,16,2,False,
17,405.891,1.24271e+006,0.238358,18,2,False,
21,3500.56,144093,0.0853231,25,3,False,
23,73.4003,6.87196e+006,0.128062,31,2,False,
24,28385.4,17769.9,0.280146,32,2,False,
25,6806.04,74111.3,0.284279,28,2,False,
28,182.929,2.75738e+006,0.543528,44,2,False,
29,779.698,646923,0.187536,29,2,False,
31,84.6584,5.95811e+006,0.295938,28,4,False,
32,418.97,1.20391e+006,0.562893,35,4,False,
33,97.2942,5.18433e+006,1.13389,40,184,True,
34,218.456,2.30895e+006,0.345489,44,34,True,
35,203.268,2.48148e+006,0.759703,33,11,True,
36,147.276,3.42488e+006,0.373649,47,6,True,
39,85.7218,5.8842e+006,0.156152,64,2,False,
41,98.9535,5.09739e+006,0.239047,60,4,False,
42,78.5418,6.42212e+006,0.216912,69,11,True,
43,83.7682,6.02143e+006,0.223849,81,12,True,
44,213.8,2.35924e+006,0.407855,85,23,True,
46,251.136,2.00849e+006,0.0699617,94,2,False,
47,498.732,1.01137e+006,0.0561258,95,2,False,
52,101.552,4.96693e+006,0.180447,109,3,False,
53,398.418,1.26602e+006,0.301105,114,2,False,
56,145.578,3.46485e+006,0.518993,122,119,True,
58,34.2454,1.47291e+007,0.334772,135,2,False,
61,25.4093,1.98512e+007,0.237087,131,4,False,
62,70.332,7.17177e+006,0.427915,138,48,True,
64,332.981,1.51481e+006,0.207551,147,2,False,
77,20.6073,2.4477e+007,0.179611,172,4,False,
84,20.3878,2.47405e+007,0.103678,179,2,False,
93,166.878,3.02259e+006,0.22688,188,3,False,
96,28.7377,1.7552e+007,0.0551305,191,2,False,
99,123.9,4.07107e+006,0.339675,205,2,False,
102,43.0586,1.17144e+007,0.144146,194,3,False,
114,82.1709,6.13848e+006,0.364589,192,13,True,
115,1406.61,358595,0.271958,217,5,False,
116,152.32,3.31148e+006,0.240392,211,4,False,
119,93.0499,5.4208e+006,0.387834,208,9,True,
124,2958.37,170501,0.298696,231,2,False,
125,28385.4,17769.9,0.693941,242,3,False,
126,1325.06,380665,0.190607,235,2,False,
129,2903.78,173706,0.201019,238,4,False,
130,54.8429,9.19725e+006,0.435441,233,5,True,
132,163.725,3.08081e+006,0.356599,248,3,False,
134,30344,16622.9,0.196463,250,2,False,
138,55.7306,9.05076e+006,0.227428,254,12,True,
139,105.123,4.79825e+006,1.03092,255,93,True,
141,215.314,2.34265e+006,0.342229,258,27,True,
142,130.835,3.85527e+006,0.360473,267,9,True,
144,337.293,1.49545e+006,0.272632,271,2,False,
145,27.9323,1.80581e+007,0.242481,271,2,False,
147,1135.04,444395,0.235857,273,2,False,
151,29.8357,1.6906e+007,0.115488,274,2,False,
164,32.0253,1.57502e+007,0.184328,291,4,False,
168,45.2283,1.11524e+007,0.0492779,292,2,False,
169,631.029,799336,0.0684235,292,2,False,
173,52.1294,9.67601e+006,0.157749,296,5,True,
177,243.05,2.07531e+006,0.368535,304,14,True,
180,155.717,3.23924e+006,0.463037,319,14,True,
185,133.598,3.77555e+006,0.506152,334,26,True,
186,224.59,2.24589e+006,0.164474,334,5,False,
187,65.7332,7.67351e+006,0.112172,341,2,False,
189,249.895,2.01847e+006,0.20082,350,2,False,
190,74.7373,6.74903e+006,0.0664657,353,2,False,
192,679.14,742711,0.664308,356,2,False,
