ID	lat	long
Hills-001	45.946705	-64.67309
Hills-002	45.943966	-64.697831
Hills-003	45.891705	-64.628625
Hills-004	45.887382	-64.651845
Hills-005	45.890274	-64.632395
Hills-006	45.883184	-64.612948
Hills-007	45.899926	-64.631467
Hills-008	45.892377	-64.62367
Hills-009	45.896437	-64.632783
Hills-010	45.961602	-64.697128
Hills-011	45.966785	-64.704278
Hills-012	45.903271	-64.627868
Hills-013	45.898100	-64.624603
Hills-014	45.911726	-64.649937
Hills-015	45.946705	-64.67309
