Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
0,164.552,3.01018e+006,0.628709,0,11,True,
1,229.88,2.15474e+006,0.172324,0,3,False,
2,51.5919,9.60095e+006,0.578312,0,8,True,
3,144.422,3.42975e+006,0.690556,0,15,True,
4,125.944,3.93295e+006,0.660415,0,22,True,
5,45.405,1.09092e+007,0.581261,0,14,True,
7,248.774,1.99109e+006,0.490232,8,2,False,
8,109.526,4.52251e+006,0.864113,0,9,True,
9,172.561,2.87047e+006,1.02035,0,15,True,
10,103.68,4.77751e+006,0.53183,0,14,True,
11,238.985,2.07265e+006,0.38666,0,11,True,
14,27872.7,17771.2,1.2381,0,2,False,
15,74.2697,6.66936e+006,0.385231,0,12,True,
17,2717.65,182264,0.302324,0,3,False,
18,360.979,1.37219e+006,0.367816,0,3,False,
19,100.986,4.90496e+006,0.946945,0,139,True,
20,66.2318,7.47875e+006,0.260932,0,6,True,
22,168.795,2.93451e+006,0.813791,0,10,True,
24,197.875,2.50326e+006,0.743082,0,11,True,
25,198.512,2.49522e+006,0.251604,0,4,False,
26,270.887,1.82855e+006,0.23476,0,2,False,
27,329.213,1.50459e+006,0.276256,0,5,False,
28,136.489,3.6291e+006,0.8429,0,39,True,
29,30.2974,1.6349e+007,0.71489,0,3,False,
30,71.3596,6.94134e+006,0.46311,0,2,False,
31,260.681,1.90015e+006,0.427128,0,3,False,
32,367.572,1.34758e+006,0.277477,0,2,False,
34,27872.7,17771.2,0.253586,1,2,False,
35,52.3919,9.45436e+006,0.456291,0,7,True,
36,260.846,1.89894e+006,1.22579,0,108,True,
37,1126.06,439880,1.25679,0,2,False,
38,27872.7,17771.2,1.80089,1,2,False,
39,245.24,2.01978e+006,2.55635,0,73,True,
40,2259.51,219220,1.32354,0,2,False,
43,27872.7,17771.2,0.110705,1,3,False,
44,216.805,2.28469e+006,0.34129,1,3,False,
45,80.8903,6.12349e+006,0.4909,1,47,True,
46,109.26,4.53353e+006,0.123449,1,4,False,
47,56.5411,8.76056e+006,0.219049,1,6,True,
55,143.719,3.44653e+006,0.212121,2,3,False,
56,163.596,3.02776e+006,1.01423,2,63,True,
57,3208.88,154363,0.265252,4,2,False,
59,275.101,1.80055e+006,1.27716,2,596,True,
60,258.257,1.91798e+006,1.51982,2,251,True,
61,113.857,4.35046e+006,0.160103,3,2,False,
62,145.331,3.40831e+006,0.272128,3,2,False,
65,196.956,2.51493e+006,0.835979,3,17,True,
66,298.121,1.66151e+006,0.119604,3,3,False,
69,1222.23,405269,0.219548,3,3,False,
70,202.108,2.45082e+006,0.546723,3,6,True,
71,208.386,2.37699e+006,0.536964,3,13,True,
73,16030.3,30899.7,1.65245,3,2,False,
74,1285.25,385398,0.368979,15,2,False,
76,95.533,5.18492e+006,0.185404,4,2,False,
78,88.1295,5.62049e+006,0.467469,4,9,True,
79,107.844,4.59302e+006,0.379274,4,8,True,
80,175.383,2.82428e+006,0.477478,4,3,False,
84,668.675,740765,0.355444,5,4,False,
85,706.885,700724,1.30904,5,2,False,
86,238.264,2.07892e+006,0.166346,5,7,True,
89,88.8285,5.57627e+006,0.204451,5,3,False,
90,24.0648,2.05832e+007,0.329712,5,3,False,
92,135.473,3.65631e+006,1.71621,5,179,True,
93,97.068,5.10293e+006,0.224007,6,2,False,
101,250.626,1.97637e+006,0.329872,2,2,False,
102,95.8959,5.1653e+006,0.213327,7,3,False,
103,485.165,1.02095e+006,0.274445,7,2,False,
106,1050.18,471663,0.80237,7,2,False,
107,66.7815,7.41719e+006,0.281885,7,3,False,
109,139.737,3.54474e+006,0.595816,7,2,False,
112,340.591,1.45433e+006,0.117904,8,2,False,
115,27872.7,17771.2,0.607244,8,2,False,
121,374.516,1.32259e+006,0.918987,8,2,False,
122,754.399,656590,0.20366,9,2,False,
124,194,2.55325e+006,0.218982,9,2,False,
127,53.4302,9.27062e+006,0.138668,9,2,False,
129,125.632,3.94272e+006,0.204964,10,6,True,
130,280.989,1.76282e+006,0.460604,10,7,False,
132,139.892,3.54081e+006,0.449415,10,16,True,
135,27872.7,17771.2,2.50063,152,2,False,
136,164.063,3.01914e+006,0.494123,10,16,True,
138,474.195,1.04457e+006,0.36403,10,2,False,
141,120.376,4.11487e+006,0.847674,0,8,True,
142,115.89,4.27417e+006,0.245083,11,4,False,
144,49.6424,9.97799e+006,0.167797,11,2,False,
147,118.083,4.19477e+006,0.554413,11,6,True,
149,262.402,1.88768e+006,0.60981,11,11,True,
152,97.7553,5.06705e+006,0.311981,12,14,True,
154,79.6594,6.21812e+006,0.864867,12,11,True,
155,68.0941,7.27422e+006,0.0981835,12,2,False,
156,202.066,2.45133e+006,0.516985,12,9,True,
162,2528.82,195874,0.389667,13,2,False,
164,27872.7,17771.2,0.263443,13,2,False,
165,249.418,1.98595e+006,0.144795,14,7,False,
166,2351.4,210654,0.203301,14,2,False,
167,72.6572,6.81737e+006,0.111543,14,3,False,
168,130.34,3.80029e+006,0.237873,14,3,False,
