Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
0,109.638,4.54146e+006,0.641717,0,27,True,
2,64.6562,7.70096e+006,1.15337,0,8,True,
3,80.8729,6.15675e+006,0.277164,0,4,False,
4,149.331,3.3343e+006,0.828371,0,32,True,
5,99.8139,4.98843e+006,0.513498,0,12,True,
6,24044.8,20707.8,0.365243,3,3,False,
8,126.045,3.95028e+006,0.29358,0,5,True,
10,85.3429,5.83429e+006,1.62796,0,13,True,
11,41.6712,1.19487e+007,0.507783,0,4,False,
13,1916.79,259765,0.546056,0,2,False,
14,111.411,4.46917e+006,0.38238,0,2,False,
15,109.058,4.56558e+006,0.591544,0,39,True,
16,74.0496,6.72408e+006,0.41741,0,8,True,
18,95.5837,5.2092e+006,0.212415,0,6,True,
19,160.991,3.09282e+006,0.969536,0,3,False,
20,453.99,1.09675e+006,1.44875,0,5,False,
21,1359.9,366140,0.861729,0,3,False,
22,195.29,2.54961e+006,0.837245,0,22,True,
23,168.505,2.9549e+006,1.60008,0,2,False,
24,1795.32,277340,0.564647,0,2,False,
25,1494.46,333173,0.678402,20,3,False,
26,31.7513,1.56817e+007,0.925801,0,2,False,
29,129.431,3.84694e+006,0.58338,0,2,False,
30,75.8425,6.56511e+006,0.436514,0,15,True,
31,750.987,663014,0.751939,11,2,False,
32,3273.73,152094,0.875707,0,3,False,
33,133.58,3.72747e+006,1.44046,0,98,True,
34,84.8089,5.87102e+006,2.79865,0,34,True,
35,274.289,1.81529e+006,1.2664,0,4,False,
36,176.881,2.81497e+006,1.25382,0,93,True,
37,1049.96,474221,1.20077,22,2,False,
39,659.998,754419,0.237026,1,7,False,
45,45.8516,1.08593e+007,0.17173,1,2,False,
46,37.9539,1.31189e+007,0.354246,1,4,False,
49,136.609,3.64482e+006,0.247846,2,3,False,
57,136.642,3.64393e+006,0.521701,2,2,False,
58,25.5182,1.95122e+007,0.556144,2,2,False,
59,3975.38,125250,0.919513,5,9,False,
61,154.535,3.22201e+006,0.416659,2,2,False,
62,26.6135,1.87091e+007,0.151522,2,3,False,
63,26.2106,1.89967e+007,0.29941,2,2,False,
64,263.943,1.88645e+006,0.30507,4,2,False,
65,116.187,4.28546e+006,0.970796,2,201,True,
68,670.927,742129,0.48976,3,2,False,
69,3116.53,159766,0.355557,3,2,False,
73,152.211,3.27122e+006,0.321183,3,6,True,
74,59.6819,8.34282e+006,0.257148,3,4,False,
76,244.559,2.03597e+006,0.130793,4,2,False,
77,92.2251,5.39891e+006,1.4656,3,17,True,
78,1039.11,479176,0.927844,4,2,False,
81,345.469,1.44127e+006,0.255803,4,2,False,
83,44.2116,1.12621e+007,1.21259,4,3,False,
84,69.101,7.20561e+006,0.727175,4,3,False,
