[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
37,0.1085,0.0651,0.1231,0.0713,0.0751,0.0886,0.0114,
38,0.1212,0.0844,0.1603,0.0711,0.0808,0.1036,0.0165,
39,0.1422,0.1102,0.1928,0.0750,0.0945,0.1229,0.0206,
40,0.1743,0.1377,0.2175,0.0842,0.1160,0.1459,0.0231,
41,0.2167,0.1620,0.2340,0.0990,0.1446,0.1713,0.0245,
42,0.2652,0.1814,0.2437,0.1191,0.1799,0.1979,0.0259,
43,0.3144,0.1977,0.2495,0.1437,0.2225,0.2256,0.0283,
44,0.3608,0.2150,0.2549,0.1703,0.2715,0.2545,0.0318,
45,0.4036,0.2373,0.2632,0.1962,0.3250,0.2851,0.0363,
46,0.4447,0.2661,0.2775,0.2192,0.3803,0.3176,0.0412,
47,0.4865,0.3006,0.2994,0.2391,0.4351,0.3521,0.0464,
48,0.5300,0.3387,0.3287,0.2574,0.4883,0.3886,0.0516,
49,0.5743,0.3782,0.3643,0.2773,0.5407,0.4270,0.0563,
50,0.6169,0.4184,0.4043,0.3021,0.5937,0.4671,0.0600,
51,0.6551,0.4602,0.4474,0.3340,0.6499,0.5093,0.0624,
52,0.6884,0.5060,0.4929,0.3742,0.7115,0.5546,0.0637,
53,0.7189,0.5580,0.5406,0.4217,0.7800,0.6038,0.0646,
54,0.7508,0.6188,0.5904,0.4747,0.8552,0.6580,0.0660,
55,0.7892,0.6897,0.6423,0.5308,0.9356,0.7175,0.0686,
56,0.8372,0.7713,0.6959,0.5874,1.0187,0.7821,0.0723,
57,0.8959,0.8638,0.7509,0.6427,1.1024,0.8511,0.0771,
58,0.9631,0.9669,0.8073,0.6959,1.1855,0.9237,0.0829,
59,1.0352,1.0793,0.8657,0.7468,1.2676,0.9989,0.0898,
60,1.1084,1.1989,0.9275,0.7963,1.3494,1.0761,0.0978,
61,1.1796,1.3219,0.9940,0.8457,1.4317,1.1546,0.1065,
