Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
0,261.732,1.92221e+006,0.542641,0,7,False,
2,83.5777,6.01959e+006,1.20551,0,19,True,
4,39.1317,1.28567e+007,1.4789,0,3,False,
5,264.577,1.90154e+006,0.184432,0,2,False,
6,61.0663,8.23863e+006,0.361133,0,2,False,
8,317.749,1.58333e+006,0.498252,0,2,False,
10,216.723,2.32141e+006,0.532809,0,19,True,
11,135.588,3.71054e+006,0.352402,0,5,True,
12,373.474,1.34709e+006,0.300177,110,2,False,
13,27.4405,1.83343e+007,0.970098,0,2,False,
15,91.9374,5.47223e+006,0.287461,0,9,True,
17,160.937,3.12608e+006,0.68498,0,57,True,
18,194.291,2.58943e+006,0.630192,0,4,False,
19,69.0569,7.28534e+006,0.132453,0,2,False,
21,165.4,3.04174e+006,0.439564,0,8,True,
22,100.161,5.02294e+006,0.268475,0,3,False,
23,749.698,671074,0.254439,0,2,False,
24,102.374,4.91435e+006,0.453941,0,28,True,
25,71.1979,7.06626e+006,1.05283,0,4,False,
27,1711.8,293903,0.508593,28,5,False,
28,183.887,2.73594e+006,0.318268,0,4,False,
31,168.863,2.97936e+006,1.51185,0,2,False,
33,184.922,2.72062e+006,0.609518,0,50,True,
34,5364.55,93782.8,0.895637,7,2,False,
36,410.759,1.22481e+006,0.440215,0,2,False,
37,1272.23,395451,0.429981,23,2,False,
38,142.605,3.52795e+006,0.990042,0,84,True,
39,110.885,4.53716e+006,1.02273,0,48,True,
40,246.494,2.04104e+006,0.971786,0,5,False,
41,116.282,4.32657e+006,2.34588,0,749,True,
42,94.6071,5.31782e+006,3.02074,0,4,False,
43,83.1612,6.04973e+006,1.03763,0,30,True,
44,137.498,3.65897e+006,0.370509,1,2,False,
50,490.498,1.0257e+006,0.528713,1,3,False,
51,102.041,4.93039e+006,0.45652,1,7,True,
52,144.159,3.48991e+006,0.516876,1,3,False,
53,90.2922,5.57194e+006,0.738653,1,2,False,
54,108.923,4.61888e+006,3.83117,1,2,False,
57,450.752,1.11614e+006,0.553384,1,2,False,
62,65.8652,7.63838e+006,0.712687,2,17,True,
66,31.0328,1.6212e+007,0.17646,2,3,False,
68,1326.26,379340,0.853601,2,2,False,
69,173.16,2.90542e+006,0.294913,2,6,True,
70,236.889,2.1238e+006,0.305644,2,2,False,
71,43.1892,1.16488e+007,0.282141,2,2,False,
73,999.48,503365,1.09316,2,3,False,
75,69.2963,7.26018e+006,0.272031,3,6,True,
78,67.8102,7.41929e+006,0.510491,3,3,False,
85,51.8116,9.71024e+006,0.707538,3,2,False,
87,67.706,7.4307e+006,0.326601,4,8,True,
95,277.829,1.81084e+006,0.689106,4,7,False,
101,153.771,3.27176e+006,0.448771,4,52,True,
103,37.5347,1.34037e+007,0.297963,4,2,False,
109,1853.86,271382,0.183021,5,2,False,
110,28312.8,17769.4,0.379859,5,2,False,
111,42.6708,1.17903e+007,0.173314,5,2,False,
112,329.418,1.52725e+006,0.290463,5,2,False,
113,146.444,3.43545e+006,0.677197,5,6,True,
115,1833.72,274363,0.169364,5,2,False,
116,96.4686,5.2152e+006,3.42709,5,4,False,
118,112.133,4.48665e+006,0.559267,5,4,False,
120,125.714,4.00197e+006,3.0708,5,4,False,
122,83.218,6.0456e+006,2.10376,6,18,True,
123,916.321,549047,0.319164,6,3,False,
124,5317.3,94616.3,0.358484,6,2,False,
125,28312.8,17769.4,0.17477,6,2,False,
126,28312.8,17769.4,1.22522,7,2,False,
132,1160.41,433556,0.224667,6,2,False,
136,476.338,1.05619e+006,0.405588,6,2,False,
140,56.7354,8.86753e+006,0.419397,7,2,False,
141,28312.8,17769.4,0.480715,7,2,False,
145,236.751,2.12503e+006,0.20621,7,4,False,
146,407.394,1.23493e+006,0.723252,7,11,False,
147,142.803,3.52306e+006,0.395786,7,15,True,
148,92.7424,5.42473e+006,0.157919,7,2,False,
149,142.849,3.52193e+006,0.413062,7,13,True,
150,90.9268,5.53305e+006,0.428987,7,2,False,
151,966.565,520506,0.334024,80,3,False,
153,168.063,2.99353e+006,0.186911,7,2,False,
154,1332.45,377578,0.55373,7,2,False,
156,47.1735,1.06649e+007,1.44303,7,3,False,
158,137.614,3.65591e+006,0.779537,15,2,False,
159,2707.15,185842,1.09976,7,5,False,
160,569.851,882868,0.209418,8,4,False,
161,82.0583,6.13104e+006,0.115157,8,2,False,
166,43.5247,1.1559e+007,0.596554,8,8,True,
168,23.7566,2.11774e+007,1.92176,8,2,False,
170,375.871,1.3385e+006,0.474914,10,2,False,
172,168.848,2.97963e+006,0.53384,9,2,False,
173,1469.41,342385,0.317533,9,3,False,
175,101.195,4.97163e+006,0.235391,9,2,False,
178,520.01,967487,0.972735,9,2,False,
180,168.053,2.99372e+006,0.3811,9,2,False,
186,27.0113,1.86256e+007,1.79253,9,2,False,
187,392.198,1.28278e+006,0.908567,0,7,False,
194,189.738,2.65157e+006,0.362715,10,2,False,
195,537.139,936634,0.144269,10,2,False,
199,131.594,3.82316e+006,0.535335,10,2,False,
200,82.5117,6.09735e+006,0.99191,50,2,False,
204,397.958,1.26421e+006,4.47946,10,2,False,
205,19.3449,2.6007e+007,0.0859427,11,2,False,
206,416.718,1.2073e+006,0.67974,12,2,False,
207,72.3545,6.95331e+006,0.680161,11,9,True,
210,591.468,850601,0.226322,11,3,False,
211,92.0882,5.46327e+006,0.302478,11,2,False,
213,410.435,1.22578e+006,0.248479,11,2,False,
215,29.6469,1.69698e+007,4.51905,11,2,False,
216,190.688,2.63836e+006,0.393258,11,3,False,
220,271.229,1.8549e+006,0.45739,11,4,False,
223,32.2263,1.56116e+007,0.431012,12,2,False,
227,54.452,9.23938e+006,0.393503,12,2,False,
228,59.7949,8.41381e+006,0.26015,12,6,True,
231,132.667,3.79224e+006,0.254373,12,4,False,
237,20.5477,2.44846e+007,5.56211,12,2,False,
238,652.689,770816,1.0399,12,3,False,
239,29.5406,1.70309e+007,0.725031,8,2,False,
240,431.57,1.16575e+006,0.587134,33,2,False,
241,60.4873,8.31749e+006,0.128027,13,2,False,
243,103.758,4.8488e+006,0.329493,13,6,True,
245,112.686,4.46464e+006,0.473794,13,2,False,
249,186.034,2.70436e+006,0.171574,13,2,False,
255,169.217,2.97313e+006,0.517307,13,4,False,
258,76.3701,6.58769e+006,0.741223,13,3,False,
261,290.138,1.73401e+006,0.840855,13,2,False,
263,95.7679,5.25336e+006,0.876709,13,2,False,
266,358.042,1.40515e+006,0.200733,14,4,False,
268,127.087,3.95874e+006,0.189184,14,3,False,
271,103.705,4.85127e+006,0.272489,14,3,False,
272,204.609,2.45885e+006,0.538575,14,7,True,
277,111.595,4.50829e+006,0.278307,14,2,False,
283,153.166,3.28468e+006,0.247608,15,4,False,
285,182.56,2.75583e+006,0.242669,15,5,False,
286,278.084,1.80918e+006,0.257512,15,4,False,
287,23.7863,2.11509e+007,1.44307,15,2,False,
288,289.318,1.73893e+006,0.473184,15,3,False,
289,29.1419,1.72639e+007,4.72651,15,5,True,
292,60.0673,8.37566e+006,1.6422,16,3,False,
293,518.89,969575,0.322253,16,4,False,
294,28312.8,17769.4,0.104616,16,2,False,
297,387.408,1.29864e+006,0.0962191,16,2,False,
299,845.159,595276,0.471443,16,4,False,
304,136.843,3.67651e+006,0.200893,16,2,False,
306,397.175,1.2667e+006,0.930103,16,17,True,
308,89.5073,5.6208e+006,0.24723,17,2,False,
311,85.8598,5.85958e+006,0.188023,17,2,False,
