Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
1,214.11,2.3376e+006,0.298942,0,8,True,
2,104.261,4.80051e+006,0.394467,0,9,True,
4,503.522,994008,0.993939,10,7,False,
5,742.213,674342,0.310859,0,2,False,
6,127.463,3.92667e+006,0.435371,0,10,True,
7,45.5437,1.09896e+007,0.566866,0,4,False,
11,69.7517,7.17553e+006,0.180761,0,2,False,
12,214.028,2.33851e+006,1.37619,0,12,True,
13,97.716,5.12204e+006,1.02151,0,16,True,
14,270.699,1.84894e+006,0.236179,0,5,False,
15,4129.97,121189,0.171639,0,2,False,
16,63.7653,7.84919e+006,0.240781,0,2,False,
18,26.5478,1.8853e+007,1.31726,0,4,False,
19,108.664,4.60599e+006,0.155051,0,3,False,
20,148.087,3.3798e+006,0.588615,0,15,True,
21,2256.85,221771,0.566978,0,2,False,
22,134.972,3.70822e+006,0.466102,0,3,False,
23,95.8618,5.22111e+006,0.798312,0,108,True,
24,156.389,3.20039e+006,0.653697,0,17,True,
27,102.043,4.90483e+006,1.14887,0,28,True,
28,88.233,5.67254e+006,1.21826,0,124,True,
29,283.966,1.76255e+006,0.354693,2,2,False,
31,136.854,3.65722e+006,0.531182,0,8,True,
32,82.9129,6.03652e+006,0.413886,0,10,True,
33,151.547,3.30263e+006,0.400379,0,3,False,
34,98.6259,5.07479e+006,1.00477,0,7,True,
36,365.451,1.36955e+006,0.706271,0,64,True,
40,7084.67,70646.3,0.394236,0,2,False,
41,509.589,982174,1.05134,62,3,False,
42,115.666,4.32717e+006,1.72038,0,378,True,
43,162.35,3.08288e+006,1.22543,0,22,True,
44,119.856,4.1759e+006,1.01343,0,18,True,
45,101.947,4.90946e+006,1.21225,0,22,True,
46,92.883,5.38856e+006,1.73786,0,8,True,
47,148.522,3.3699e+006,1.61418,0,41,True,
48,2089.15,239574,1.30072,119,5,False,
49,290.039,1.72565e+006,1.36863,0,4,False,
50,32.2265,1.55309e+007,0.238648,1,2,False,
57,136.96,3.6544e+006,1.86221,1,31,True,
59,61.658,8.11745e+006,0.652025,1,4,False,
68,21.7299,2.30331e+007,0.164218,1,2,False,
72,85.8847,5.82764e+006,0.726392,1,30,True,
75,114.268,4.38012e+006,1.45702,2,18,True,
76,62.4321,8.0168e+006,0.369765,2,2,False,
78,92.4562,5.41343e+006,0.63239,2,26,True,
81,777.947,643367,0.351559,2,2,False,
82,4338.76,115357,0.507576,2,3,False,
84,27.7401,1.80427e+007,2.11096,16,2,False,
86,111.211,4.50051e+006,0.329791,2,6,True,
87,330.232,1.51562e+006,1.5573,3,2,False,
88,39.8208,1.25689e+007,0.721775,3,2,False,
89,68.7066,7.28468e+006,0.206985,3,3,False,
97,524.41,954417,0.22126,9,2,False,
98,30.5672,1.63739e+007,0.294968,3,2,False,
100,167.196,2.99352e+006,0.367507,3,3,False,
107,111.046,4.5072e+006,0.550334,3,2,False,
111,159.38,3.14034e+006,0.372253,4,6,True,
113,184.041,2.71953e+006,1.37302,4,31,True,
115,173.303,2.88804e+006,0.898998,4,2,False,
116,28162.4,17772.1,0.149785,4,2,False,
117,718.741,696364,0.341225,4,2,False,
119,342.402,1.46175e+006,0.302204,4,2,False,
123,84.5547,5.91931e+006,0.218498,4,2,False,
124,134.199,3.72957e+006,0.250537,4,9,True,
127,2057.04,243314,0.2288,0,2,False,
129,228.398,2.19138e+006,1.00228,5,2,False,
132,264.803,1.89011e+006,0.715368,5,2,False,
133,98.3331,5.0899e+006,0.217026,5,3,False,
134,68.9645,7.25743e+006,0.218442,5,4,False,
135,359.831,1.39095e+006,0.15478,5,2,False,
136,268.77,1.8622e+006,0.167018,44,2,False,
137,111.519,4.48808e+006,0.548001,5,5,True,
138,578.911,864563,0.669383,5,2,False,
142,39.4597,1.2684e+007,4.79322,5,7,True,
145,289.778,1.7272e+006,0.165451,6,3,False,
146,9667.5,51771.9,0.247318,6,2,False,
148,250.142,2.00089e+006,0.347174,6,3,False,
150,128.416,3.89752e+006,0.174679,6,3,False,
156,42.8834,1.16713e+007,0.331027,6,3,False,
157,276.828,1.808e+006,0.743444,6,19,True,
158,73.0088,6.85541e+006,1.29014,7,3,False,
162,125.546,3.98662e+006,0.533981,7,2,False,
163,53.1186,9.42241e+006,0.28431,7,2,False,
164,47.2852,1.05848e+007,0.963071,7,8,True,
166,48.9667,1.02213e+007,0.934461,7,5,True,
167,545.369,917737,0.584167,7,2,False,
168,85.5518,5.85032e+006,0.356113,7,12,True,
176,49.5079,1.01096e+007,0.382903,8,3,False,
179,137.311,3.64504e+006,0.964743,8,9,True,
180,1620.5,308859,0.426093,8,2,False,
183,22.6318,2.21151e+007,0.487659,8,2,False,
184,19.4292,2.57604e+007,0.491821,8,2,False,
189,144.057,3.47435e+006,0.903616,8,3,False,
190,25.6539,1.95099e+007,0.306091,9,2,False,
191,343.239,1.45818e+006,0.245002,9,3,False,
199,40.8221,1.22607e+007,0.101954,9,2,False,
201,428.355,1.16844e+006,1.22772,10,2,False,
202,101.492,4.93148e+006,0.248981,9,4,False,
204,6730.7,74361.6,0.563984,10,2,False,
207,138.363,3.61734e+006,0.573897,9,17,True,
208,14106.8,35479.8,0.258827,9,2,False,
209,98.979,5.05668e+006,1.80967,9,28,True,
210,28162.4,17772.1,0.633432,10,2,False,
213,52.0467,9.61646e+006,0.510813,10,6,True,
214,89.8454,5.57074e+006,0.436888,10,30,True,
219,76.5439,6.5388e+006,0.20234,10,3,False,
221,22.3782,2.23658e+007,0.269084,10,2,False,
222,375.199,1.33397e+006,0.313237,10,3,False,
223,1648.53,303607,0.091794,10,2,False,
227,340.737,1.46889e+006,1.12319,10,6,False,
228,807.171,620073,0.66243,10,2,False,
240,29.8413,1.67723e+007,0.15536,11,3,False,
241,78.7694,6.35406e+006,0.200467,11,2,False,
245,161.366,3.10168e+006,1.02557,11,46,True,
246,222.201,2.25249e+006,0.25112,11,2,False,
247,456.888,1.09547e+006,0.500163,11,4,False,
250,82.9833,6.0314e+006,0.404677,11,10,True,
253,217.313,2.30315e+006,0.22884,3,6,False,
258,78.8728,6.34573e+006,2.55442,12,2,False,
260,41.1682,1.21576e+007,0.481885,12,3,False,
262,211.871,2.36231e+006,0.319193,12,2,False,
264,31.1078,1.60894e+007,1.14153,12,3,False,
269,1382.63,361994,0.498565,12,2,False,
271,44.8649,1.11558e+007,0.615666,12,4,False,
