[Software Info]
Build,NTA 2.3 build 0025

[Sample Information]
38,0.1968,0.1852,0.2685,1.0123,0.1346,0.3595,0.1646,
39,0.2114,0.2039,0.2763,1.0769,0.1862,0.3909,0.1722,
40,0.2284,0.2290,0.2873,1.1443,0.2474,0.4273,0.1796,
41,0.2501,0.2683,0.3088,1.2127,0.3126,0.4705,0.1859,
42,0.2797,0.3277,0.3462,1.2903,0.3756,0.5239,0.1922,
43,0.3211,0.4082,0.4015,1.3933,0.4307,0.5910,0.2014,
44,0.3759,0.5072,0.4730,1.5360,0.4744,0.6733,0.2168,
45,0.4417,0.6185,0.5564,1.7243,0.5069,0.7696,0.2404,
46,0.5128,0.7355,0.6470,1.9537,0.5318,0.8762,0.2724,
47,0.5817,0.8521,0.7411,2.2118,0.5553,0.9884,0.3106,
48,0.6424,0.9638,0.8352,2.4804,0.5835,1.1011,0.3515,
49,0.6923,1.0673,0.9268,2.7419,0.6209,1.2099,0.3913,
50,0.7325,1.1595,1.0131,2.9807,0.6692,1.3110,0.4270,
51,0.7677,1.2380,1.0919,3.1872,0.7280,1.4026,0.4564,
52,0.8043,1.3016,1.1619,3.3588,0.7954,1.4844,0.4790,
53,0.8486,1.3506,1.2227,3.4990,0.8681,1.5578,0.4951,
54,0.9059,1.3877,1.2766,3.6175,0.9431,1.6262,0.5064,
55,0.9799,1.4171,1.3276,3.7270,1.0183,1.6940,0.5153,
56,1.0721,1.4430,1.3813,3.8400,1.0929,1.7658,0.5238,
57,1.1825,1.4697,1.4446,3.9668,1.1686,1.8464,0.5338,
58,1.3099,1.5011,1.5234,4.1122,1.2492,1.9392,0.5458,
59,1.4516,1.5400,1.6217,4.2749,1.3391,2.0455,0.5593,
60,1.6038,1.5888,1.7412,4.4481,1.4427,2.1649,0.5727,
61,1.7614,1.6484,1.8793,4.6210,1.5625,2.2945,0.5841,
62,1.9182,1.7191,2.0316,4.7837,1.6983,2.4302,0.5917,
63,2.0673,1.8000,2.1912,4.9282,1.8475,2.5668,0.5946,
64,2.2014,1.8887,2.3513,5.0508,2.0048,2.6994,0.5932,
65,2.3140,1.9825,2.5052,5.1528,2.1646,2.8238,0.5886,
