Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
1,28312.1,17769.9,1.49823,19,2,False,
2,28312.1,17769.9,1.63397,0,2,False,
3,83.9321,5.99417e+006,0.249494,0,2,False,
5,433.689,1.16006e+006,0.393901,0,5,False,
7,326.994,1.53857e+006,0.255868,0,2,False,
8,85.6181,5.87613e+006,0.760228,0,4,False,
11,127.175,3.95598e+006,0.735853,0,51,True,
12,61.0465,8.24131e+006,0.609361,0,14,True,
14,113.701,4.4248e+006,0.418017,0,9,True,
15,105.67,4.7611e+006,0.514068,0,5,True,
17,28312.1,17769.9,1.60534,0,2,False,
18,55.2276,9.10964e+006,0.595927,0,11,True,
21,526.982,954688,0.474298,98,2,False,
23,72.8012,6.91064e+006,0.390259,0,3,False,
24,92.431,5.44301e+006,1.21168,0,14,True,
25,148.612,3.38535e+006,0.827814,0,41,True,
26,207.936,2.41951e+006,1.21564,0,46,True,
28,74.1965,6.78068e+006,0.406587,0,25,True,
29,404.196,1.2447e+006,0.574275,7,3,False,
30,28312.1,17769.9,0.671253,0,2,False,
31,301.204,1.67031e+006,1.21856,0,598,True,
36,108.058,4.65586e+006,1.01273,1,33,True,
37,326.386,1.54144e+006,0.232931,1,2,False,
38,201.246,2.49994e+006,1.0289,1,75,True,
39,95.2063,5.28435e+006,0.415971,11,2,False,
42,21.231,2.36966e+007,0.13081,1,2,False,
43,30.324,1.65909e+007,0.487686,1,2,False,
44,96.0537,5.23773e+006,0.256777,1,2,False,
45,190.023,2.64759e+006,0.327736,1,3,False,
46,106.411,4.72792e+006,1.20617,2,42,True,
48,1075.93,467599,0.502832,2,2,False,
49,433.583,1.16034e+006,0.981506,2,4,False,
51,890.558,564930,0.0725962,2,2,False,
52,113.432,4.43529e+006,0.28071,2,18,True,
54,40.6889,1.23646e+007,0.486889,2,3,False,
55,480.284,1.04751e+006,1.14153,2,2,False,
56,110.263,4.56276e+006,0.647504,2,41,True,
57,252.446,1.99292e+006,0.198767,2,3,False,
58,187.028,2.68999e+006,1.09582,2,431,True,
59,82.5626,6.09359e+006,0.206185,3,2,False,
60,119.969,4.1936e+006,0.14464,3,2,False,
63,1286.61,391030,0.377924,5,4,False,
64,299.7,1.67869e+006,0.370812,3,6,False,
66,220.048,2.28633e+006,0.981494,3,2,False,
67,123.746,4.0656e+006,1.22611,3,2,False,
68,175.341,2.86928e+006,0.112152,3,2,False,
69,332.554,1.51285e+006,0.236763,3,2,False,
74,182.828,2.75179e+006,0.206745,4,3,False,
75,268.887,1.87105e+006,0.394127,4,5,False,
77,110.916,4.53589e+006,0.183796,4,2,False,
80,753.25,667910,0.18396,4,4,False,
81,58.3806,8.61764e+006,0.231411,4,2,False,
83,79.8128,6.30354e+006,0.576935,13,2,False,
85,171.345,2.93619e+006,0.377153,5,6,True,
87,97.2105,5.1754e+006,1.15023,5,135,True,
90,462.583,1.08759e+006,0.663867,5,2,False,
97,28312.1,17769.9,0.104852,6,2,False,
98,237.526,2.1181e+006,0.125797,6,5,False,
99,86.5736,5.81128e+006,0.251462,6,3,False,
100,1899.11,264915,0.296329,6,2,False,
101,415.019,1.21224e+006,1.39279,6,2,False,
102,40.187,1.25191e+007,1.31061,6,5,True,
103,88.3542,5.69416e+006,0.433765,6,8,True,
104,40.238,1.25032e+007,0.411853,6,3,False,
107,337.964,1.48863e+006,0.430719,6,2,False,
109,1734.1,290123,0.174563,6,3,False,
110,38.5114,1.30638e+007,0.283727,6,2,False,
111,203.542,2.47174e+006,0.312592,6,2,False,
113,83.7715,6.00566e+006,0.624294,7,31,True,
114,100.97,4.98268e+006,0.330012,7,3,False,
117,28312.1,17769.9,0.42789,7,2,False,
121,80.3241,6.26342e+006,1.07734,8,41,True,
122,100.408,5.01061e+006,0.480668,11,2,False,
123,340.932,1.47567e+006,0.296326,8,2,False,
125,310.211,1.62181e+006,0.330427,8,2,False,
127,28312.1,17769.9,0.188013,8,2,False,
128,52.0379,9.66801e+006,0.217201,8,2,False,
132,50.7769,9.90812e+006,1.16466,9,7,True,
133,118.251,4.25454e+006,0.0938405,9,2,False,
134,135.137,3.72292e+006,0.263303,9,4,False,
135,3218.84,156300,0.306996,9,2,False,
139,15060.3,33405.8,0.399271,9,2,False,
140,192.511,2.61338e+006,0.312441,3,2,False,
141,189.223,2.65879e+006,0.278222,10,3,False,
146,17793,28275.4,0.194825,10,2,False,
149,28312.1,17769.9,0.0838929,18,2,False,
152,103.79,4.84733e+006,0.270804,10,11,True,
153,72.9241,6.89899e+006,0.543763,0,7,True,
154,143.233,3.51247e+006,0.623418,11,3,False,
155,202.872,2.47991e+006,0.124444,11,2,False,
156,127.194,3.95541e+006,1.13593,11,28,True,
158,397.157,1.26676e+006,0.368006,11,2,False,
162,98.1675,5.12494e+006,0.493755,11,9,True,
163,104.382,4.81982e+006,0.156524,12,2,False,
164,65.205,7.71571e+006,0.46411,12,4,False,
165,345.461,1.45633e+006,0.498758,12,5,False,
167,180.128,2.79303e+006,0.358779,12,3,False,
168,26.8126,1.87637e+007,0.197503,13,2,False,
169,161.152,3.12192e+006,0.285502,13,4,False,
170,576.128,873249,0.433602,14,3,False,
174,38.9348,1.29217e+007,0.159923,13,5,True,
176,182.153,2.76198e+006,0.769668,13,2,False,
177,28312.1,17769.9,0.454059,13,2,False,
178,63.4319,7.93139e+006,0.644029,1,10,True,
179,47.126,1.06757e+007,0.178007,8,3,False,
182,155.671,3.23183e+006,0.814227,14,3,False,
183,96.0337,5.23882e+006,0.802249,14,16,True,
186,310.919,1.61812e+006,0.581219,14,4,False,
188,227.127,2.21508e+006,0.167606,15,2,False,
193,205.845,2.44408e+006,0.288851,15,4,False,
195,689.73,729421,0.639151,15,4,False,
196,55.4924,9.06616e+006,1.11173,4,9,True,
199,164.907,3.05083e+006,1.13574,16,520,True,
201,59.8646,8.40401e+006,0.293996,16,2,False,
204,2145.67,234473,0.391791,16,4,False,
205,755.664,665776,0.184358,16,2,False,
207,111.334,4.51887e+006,0.394768,16,3,False,
208,885.999,567837,0.892171,16,2,False,
209,234.826,2.14245e+006,0.874135,16,4,False,
212,130.891,3.84369e+006,0.641075,17,5,True,
217,165.176,3.04586e+006,0.874485,18,47,True,
218,59.2843,8.48627e+006,0.469182,18,5,True,
220,49.4475,1.01745e+007,0.976976,18,6,True,
223,82.5015,6.09811e+006,0.308197,18,7,True,
224,2590.17,194235,0.862595,18,2,False,
225,271.076,1.85595e+006,0.177782,19,5,False,
226,222.54,2.26073e+006,0.28391,19,6,False,
227,65.5563,7.67437e+006,0.171126,19,4,False,
